key,created,agency,agency_name,complaint_type,descriptor,incident_zip,city,latitude,longitude
32581747,2016-02-01 18:34:00 UTC,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),11213,BROOKLYN,40.665232615837041,-73.9314554476319
38260955,2018-01-19 21:06:15 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10025,NEW YORK,40.800460826032449,-73.959795997876881
35624699,2017-03-04 17:37:27 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10454,BRONX,40.811119659584406,-73.919792245999
23868089,2012-08-24 00:00:00 UTC,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,11412,SAINT ALBANS,40.697427969662478,-73.751495858706747
27712922,2014-03-25 13:32:35 UTC,DOT,Department of Transportation,Street Condition,Defective Hardware,10024,NEW YORK,40.783438549767695,-73.970700577683317
31114259,2015-07-19 14:30:42 UTC,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),10460,BRONX,40.835523035221868,-73.889952586443584
33668791,2016-06-23 13:33:12 UTC,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,10128,NEW YORK,40.785193255711675,-73.949333122506133
38046407,2017-12-28 14:43:51 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10457,BRONX,40.846213840473624,-73.905617701529252
33570121,2016-06-11 10:12:14 UTC,DOT,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,11234,BROOKLYN,40.61752590136026,-73.94220236745825
34928674,2016-12-04 12:30:45 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,10458,BRONX,40.858147791171781,-73.89008867190482
29345706,2014-11-21 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10453,BRONX,40.8554975650247,-73.907010717922716
36839829,2017-08-01 16:31:24 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,11421,WOODHAVEN,40.685825907513745,-73.860708708053991
23770001,2012-08-08 10:59:41 UTC,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,10023,NEW YORK,40.778214685541982,-73.980718925392
37674136,2017-11-11 18:32:31 UTC,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,11229,BROOKLYN,40.606591605885775,-73.956912775733883
34641025,2016-10-27 13:31:04 UTC,DOB,Department of Buildings,Special Enforcement,SEP - Professional Certification Compliance Audit,11368,Corona,40.748020694141061,-73.868731525485472
34015983,2016-08-05 20:35:34 UTC,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10452,BRONX,40.83630605606669,-73.925168189614183
23392485,2012-06-10 09:36:45 UTC,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,10040,NEW YORK,40.8626134859534,-73.928598402645065
37084271,2017-09-01 11:03:52 UTC,DOF,Department of Finance,DOF Literature Request,SCHE Initial Application,,,,
16321076,2010-03-28 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,40.641889452483845,-73.999304560935244
37000320,2017-08-21 08:56:20 UTC,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11234,BROOKLYN,40.617250688414138,-73.914586206691013
27829326,2014-04-11 21:19:19 UTC,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10026,NEW YORK,40.803116456400865,-73.956319612098781
25506563,2013-05-08 09:53:00 UTC,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11230,BROOKLYN,40.620817789556774,-73.9566910641024
30134866,2015-03-09 11:10:01 UTC,DOT,Department of Transportation,Street Condition,Pothole,11235,BROOKLYN,40.584944848133844,-73.961031014366426
23678888,2012-07-25 11:50:08 UTC,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11422,ROSEDALE,40.676414332669815,-73.729762745562951
15895330,2010-01-30 10:40:48 UTC,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,11201,BROOKLYN,40.698328880840087,-73.9819826172545
34066485,2016-08-11 13:41:00 UTC,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),10036,NEW YORK,40.757972930155773,-73.985536369388313
19748568,2011-02-02 00:00:00 UTC,HPD,Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,11221,BROOKLYN,40.686479494418286,-73.9221524786287
33449869,2016-05-26 08:34:08 UTC,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10460,BRONX,40.839696981673725,-73.865894322197789
20618003,2011-06-11 23:25:24 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11415,KEW GARDENS,40.705220886116749,-73.832218216957372
32773134,2016-02-25 10:35:44 UTC,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,11219,BROOKLYN,40.632927005697965,-73.987130700848141
32102832,2015-11-30 22:00:44 UTC,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11211,BROOKLYN,40.708652422178723,-73.954065869997862
29456668,2014-12-08 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,11230,BROOKLYN,40.611571569805285,-73.968103567661629
26984244,2013-12-25 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,40.654457293716739,-73.937477975731937
29190113,2014-10-31 14:55:00 UTC,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11211,BROOKLYN,40.717587318767421,-73.955845377259692
25999790,2013-07-12 07:40:00 UTC,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),10027,NEW YORK,40.815690764495308,-73.958294743267345
30138801,2015-03-10 10:05:04 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,10470,BRONX,40.9033534294482,-73.849262883620526
19098878,2010-11-10 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10032,NEW YORK,40.834269668740617,-73.93952783434375
28234217,2014-06-11 11:05:00 UTC,DEP,Department of Environmental Protection,Water Quality,"Clear Water With Organisms (Insects, Worms) (QE2)",10013,NEW YORK,40.726623035129293,-74.007753361609517
26876778,2013-12-13 17:18:50 UTC,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,10459,BRONX,40.82361460682035,-73.899973491066532
16806031,2010-06-05 08:34:00 UTC,DSNY,BCC - Bronx,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,10466,BRONX,40.891750371319219,-73.844167720391724
27426411,2014-02-13 08:36:35 UTC,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,11238,BROOKLYN,40.6766339622816,-73.959434418125269
30865856,2015-06-16 15:50:29 UTC,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10003,NEW YORK,40.725799410656471,-73.989724848311027
23027985,2012-04-09 14:56:32 UTC,DOB,Department of Buildings,Special Enforcement,SEP - Professional Certification Compliance Audit,10032,NEW YORK,40.833413046775711,-73.939011856045241
35457575,2017-02-10 22:10:00 UTC,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11420,South Ozone Park,40.67910849575307,-73.805225911800179
36988035,2017-08-19 20:39:46 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,10002,NEW YORK,40.720215853530078,-73.983531552687211
36630272,2017-07-06 09:21:00 UTC,DSNY,BCC - Brooklyn South,Missed Collection (All Materials),1 Missed Collection,11210,BROOKLYN,40.633219216921681,-73.951012140185469
21595054,2011-10-06 00:00:00 UTC,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,10032,NEW YORK,40.838703807886709,-73.942321018030484
23666281,2012-07-23 11:22:00 UTC,DOT,Department of Transportation,Street Light Condition,Street Light Out,11209,BROOKLYN,40.612558454641537,-74.036092917316509
25307608,2013-04-05 19:30:00 UTC,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11216,BROOKLYN,40.68584599747355,-73.947310099986908
22895338,2012-03-16 21:26:12 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10037,NEW YORK,40.816095874905514,-73.937600691887454
34840433,2016-11-22 11:51:22 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,11233,BROOKLYN,40.682764310956287,-73.91995744768343
30288966,2015-03-29 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10040,NEW YORK,40.861937381906309,-73.92714580413967
26034935,2013-07-29 10:36:16 UTC,DOF,Department of Finance,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,,,,
29019096,2014-10-06 00:00:00 UTC,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10466,BRONX,40.890178830386304,-73.860074362531677
36446634,2017-06-14 11:27:25 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,10034,NEW YORK,40.86174893459112,-73.924336981024936
34393552,2016-09-24 13:28:00 UTC,DOT,Department of Transportation,Street Light Condition,Lamppost Damaged,,,,
36409397,2017-06-10 12:29:29 UTC,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,10002,NEW YORK,40.711710429761929,-73.988359934703013
26084170,2013-08-07 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10021,NEW YORK,40.770118168432326,-73.953489158267615
20002274,2011-03-10 14:04:59 UTC,DOT,Department of Transportation,Street Condition,Pothole,10312,STATEN ISLAND,40.564753994499483,-74.1800908265419
20143123,2011-03-30 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT-PLANT,10030,NEW YORK,40.814376214992407,-73.945542910668223
37499910,2017-10-23 10:41:00 UTC,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,10458,BRONX,40.8562518003069,-73.893656123460687
16786986,2010-06-03 16:44:18 UTC,DOF,Correspondence Unit,DOF Property - Request Copy,Copy of Statement,10019,NEW YORK,,
34891642,2016-11-29 15:13:00 UTC,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),10463,BRONX,40.889238892377293,-73.911513353816943
33264392,2016-05-02 22:01:12 UTC,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11379,MIDDLE VILLAGE,40.713169354320328,-73.89731843008488
23111364,2012-04-24 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11225,BROOKLYN,40.657776998058637,-73.9514662527712
31444326,2015-09-01 11:44:38 UTC,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,11691,Far Rockaway,40.594253257596634,-73.75121009186816
19686654,2011-01-24 09:19:49 UTC,DOT,Department of Transportation,Street Condition,Pothole,11368,CORONA,40.761294394197741,-73.844545136594789
34890225,2016-11-29 09:52:31 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10461,BRONX,40.856914239936934,-73.856522151407944
26687525,2013-11-14 10:10:00 UTC,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),11230,BROOKLYN,40.632615313607594,-73.966104758252342
23719577,2012-07-31 15:00:25 UTC,DOF,Department of Finance,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,,,,
31267883,2015-08-08 03:55:53 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,11418,RICHMOND HILL,40.699633030705144,-73.826992123942418
37984547,2017-12-20 06:38:50 UTC,DSNY,Department of Sanitation,Graffiti,Graffiti,,,,
35414233,2017-02-04 07:26:20 UTC,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11226,BROOKLYN,40.643217111620388,-73.961908638024013
34954089,2016-12-07 08:42:00 UTC,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11692,Arverne,40.597659192832459,-73.7986721446073
28145107,2014-05-29 00:00:00 UTC,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11237,BROOKLYN,40.692603869830464,-73.904937239689559
33704052,2016-06-27 14:27:16 UTC,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,10459,BRONX,40.828178258073329,-73.895952141157
28532214,2014-07-22 16:30:00 UTC,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),10468,BRONX,40.86247172303171,-73.900283804181555
38173679,2018-01-10 12:04:06 UTC,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,10029,NEW YORK,40.791998545263382,-73.945716507018474
37043483,2017-08-27 09:09:00 UTC,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),10023,NEW YORK,40.776194977050451,-73.98340217013623
36850146,2017-08-02 13:31:57 UTC,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,11418,Richmond Hill,40.701000472485639,-73.825535150436792
29233489,2014-11-06 14:11:43 UTC,DOB,Department of Buildings,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11203,BROOKLYN,40.639439049730463,-73.9347284082565
34993677,2016-12-12 18:35:36 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,11368,CORONA,40.755251526297,-73.858134375213979
25347470,2013-04-12 13:39:23 UTC,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10065,NEW YORK,40.764289177132653,-73.955615869823788
26971624,2013-12-18 06:59:57 UTC,DOT,Department of Transportation,Street Condition,Pothole,,,,
37803487,2017-11-28 09:01:48 UTC,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10458,BRONX,40.863718322560928,-73.891709980523743
28264820,2014-06-15 08:16:00 UTC,DSNY,BCC - Queens East,Missed Collection (All Materials),1R Missed Recycling-All Materials,11362,Little Neck,40.767490894549326,-73.729577307109466
34555023,2016-10-17 21:12:14 UTC,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,10453,BRONX,40.858407497792122,-73.9076935076435
32001812,2015-11-16 20:05:00 UTC,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,
29756585,2015-01-20 18:24:09 UTC,DOT,Department of Transportation,Street Condition,Blocked - Construction,11201,BROOKLYN,40.691305371191049,-73.984393310994164
26769505,2013-11-26 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,40.8910951816451,-73.862043602681112
26210812,2013-08-28 11:00:00 UTC,DOT,Department of Transportation,Street Light Condition,Street Light Out,11220,BROOKLYN,40.648152543505773,-74.0108217593671
21123704,2011-08-26 00:00:00 UTC,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,10033,NEW YORK,40.846193527814563,-73.936000203959054
24132722,2012-10-03 00:00:00 UTC,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,10466,BRONX,40.8904644130381,-73.860185881879
19353868,2010-12-15 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11209,BROOKLYN,40.634242092674668,-74.03676037239255
23781925,2012-08-10 14:33:35 UTC,DPR,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,10304,STATEN ISLAND,40.623852588239494,-74.076672160398175
22725088,2012-02-16 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11207,BROOKLYN,40.674168145256935,-73.896462791787826
21825461,2011-11-05 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11354,FLUSHING,40.764075135403488,-73.816749417941352
26193993,2013-08-25 00:00:00 UTC,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,11101,Long Island City,40.753362009143871,-73.923564975912285
27222258,2014-01-22 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11233,BROOKLYN,40.684927184079577,-73.916093212763684
28903971,2014-09-18 16:52:48 UTC,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,10001,NEW YORK,40.751136664250815,-74.001656632177287
34483104,2016-10-05 15:02:00 UTC,DSNY,A - Queens,Other Enforcement,E2A Storage Of Receptacles,11375,Forest Hills,40.713853877724581,-73.852790033157845
28465855,2014-07-13 17:51:55 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10474,BRONX,40.812616399373951,-73.887916854855575
36142244,2017-05-09 10:50:07 UTC,DOT,Department of Transportation,Street Condition,Pothole,11414,Howard Beach,40.653649029364644,-73.828351132823883
29717280,2015-01-14 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10454,BRONX,40.80795651842022,-73.918058540016958
29451917,2014-12-07 21:12:32 UTC,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10036,NEW YORK,40.760583229501151,-73.985922043923921
25993841,2013-07-23 06:13:00 UTC,DOT,Department of Transportation,Traffic Signal Condition,Controller,11414,Howard Beach,40.659174418253023,-73.8398633111881
33982663,2016-08-01 17:49:14 UTC,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,11368,CORONA,40.737232000143059,-73.855744239887784
23197956,2012-05-09 12:29:48 UTC,DOT,Department of Transportation,Street Condition,Failed Street Repair,10011,NEW YORK,40.747090884220967,-74.0027717129567
27690075,2014-03-21 07:23:56 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,11203,BROOKLYN,40.642599902550806,-73.942901318479457
29524847,2014-12-17 15:39:54 UTC,DPR,Department of Parks and Recreation,New Tree Request,For One Address,10031,NEW YORK,40.82746644119571,-73.946970315156463
18817903,2010-10-03 12:10:00 UTC,DSNY,A - Brooklyn,Dirty Conditions,E5 Loose Rubbish,11232,BROOKLYN,40.651976330505526,-74.006861741839131
25188279,2013-03-14 07:27:34 UTC,DOT,Department of Transportation,Street Condition,Pothole,11692,Arverne,40.596041066759319,-73.800999569440535
19969020,2011-03-05 07:34:11 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11238,BROOKLYN,40.675122200905712,-73.9612018401251
26486570,2013-10-11 15:23:28 UTC,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,,,
22936545,2012-03-23 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10032,NEW YORK,40.834311913851124,-73.9416129200649
26762817,2013-11-27 00:02:00 UTC,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,10012,NEW YORK,40.724880345694245,-74.002619261668912
23684905,2012-07-25 00:00:00 UTC,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10457,BRONX,40.841524246591426,-73.910456441714643
16146633,2010-03-05 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10034,NEW YORK,40.864760924613037,-73.925964094254468
32282853,2015-12-28 12:31:50 UTC,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,10009,NEW YORK,40.723232452859477,-73.984317287882391
24957063,2013-02-07 21:56:36 UTC,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10002,NEW YORK,40.718953604776182,-73.98611481859362
26989300,2013-12-26 14:08:00 UTC,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11222,BROOKLYN,40.719602260982334,-73.943899565745028
37379490,2017-10-08 20:21:29 UTC,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11205,BROOKLYN,40.690024018158745,-73.972238079717073
20125430,2011-03-28 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,40.638324707316407,-73.945333479147408
32426204,2016-01-15 07:30:48 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,11368,CORONA,40.74734599218543,-73.859843840147761
37379002,2017-10-08 13:06:47 UTC,DOT,Department of Transportation,Street Condition,Cave-in,10065,NEW YORK,40.767117654647421,-73.968119325603354
37751956,2017-11-22 00:03:05 UTC,DOT,Department of Transportation,Street Condition,Blocked - Construction,10022,NEW YORK,40.759067039294806,-73.958593701657762
28519111,2014-07-21 10:08:28 UTC,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,10019,NEW YORK,40.763244853962007,-73.980582473804631
20449401,2011-05-17 15:40:24 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10462,BRONX,40.855325142928578,-73.865714601160889
